GeneSymbol.Sin_2012			Found.42.genes.in.mm10
Gmcl1l			Mageb1__chrX
EG668965			Ssxb1__chrX
Ssxb1			Xlr3a__chrX
Fthl17			Ctag2__chrX
Slx			Rhox6__chrX
Slx			Magea8__chrX
E330016L19Rik	NoExpression		Mageb2__chrX
Rhox9	NoExpression		4930524N10Rik__chrX
Rhox6	NoExpression		Magea1__chrX
Rhox4	NoExpression		Cxx1b__chrX
Rhox2			Slx__chrX
Slxl1			Slxl1__chrX
Cxx1a			Rhox9__chrX
Cxx1b			4921511M17Rik__chrX
Cxx1c			Magea6__chrX
Magea1			Xlr3c__chrX
Magea2			Obp1a__chrX
Magea3			Xlr5a__chrX
Magea5			Gmcl1l__chrX
Magea6			Cxx1c__chrX
Magea8			Xlr5b__chrX
Magea4			Cxx1a__chrX
Magea5			Gm14781__chrX
Magea6			Magea5__chrX
Magea7			Mageb16__chrX
Xlr3a			Magea3__chrX
Xlr3b			4933416I08Rik__chrX
Xlr3c			Mageb5__chrX
Xlr5a			Magea2__chrX
Xlr5b			Magea4__chrX
Xlr5c			Mageb3__chr2
Xlr5a			Xlr3b__chrX
Xlr5b			1700020N15Rik__chrX
Xlr5c			Fthl17__chrX
Xlr4a			Xlr5c__chrX
Xlr4b			Tgif2lx1__chrX
Xlr4c			Xlr4b__chrX
EG434797			Tgif2lx2__chrX
Obp1a	NoExpression		Xlr4a__chrX
Mageb1			1700042B14Rik__chrX
Mageb2			Xlr4c__chrX
Mageb3			Pramel3__chrX
Mageb16			
Mageb3			
Gm14781			
Mageb5			
Pabpc1l2			
Tgif2lx1			
Tgif2lx2			
Pramel3			
Ott 			
LOC245376			
1700020N15Rik			
1700042B14Rik			
1700003E24RIk			
1700010D01RIk			
4930524N10Rik			
4933416I08Rik			
H2al1			
4921511M17Rik			
Ctag2			
